1,1,"[-0.22457348 -0.42635363  0.26451713  0.7122992   0.23128217 -0.2550778
  0.19807056 -0.06822412 -0.04269752 -0.19130827]","[-1.0558665e-03 -1.6474783e-02  1.0286331e-02 -7.2360039e-05
  2.6222616e-03 -1.0419309e-02 -1.1768997e-02 -5.4210871e-03
 -4.2627305e-03  3.6225826e-02]"
1,0,"[-0.22684678 -0.4245784   0.2541966   0.72272307  0.22960714 -0.24144766
  0.19868483 -0.07634244 -0.02944395 -0.20849948]","[-3.32917273e-03 -1.46995485e-02 -3.41832638e-05  1.03514791e-02
  9.47222114e-04  3.21084261e-03 -1.11547261e-02 -1.35394037e-02
  8.99084657e-03  1.90346241e-02]"
1,0,"[-0.22732665 -0.4098155   0.2594262   0.693012    0.23707932 -0.23055509
  0.20956676 -0.07198343 -0.0321245  -0.22908893]","[-3.8090348e-03  6.3359737e-05  5.1954091e-03 -1.9359589e-02
  8.4194094e-03  1.4103413e-02 -2.7279556e-04 -9.1803893e-03
  6.3102953e-03 -1.5548319e-03]"
1,0,"[-0.23237212 -0.4141717   0.25765005  0.70207816  0.21418549 -0.23072508
  0.20689069 -0.05025148 -0.01872183 -0.23643035]","[-0.00885451 -0.00429285  0.00341925 -0.01029342 -0.01447442  0.01393342
 -0.00294887  0.01255156  0.01971296 -0.00889625]"
1,1,"[-0.22908708 -0.429448    0.2652867   0.71109617  0.23327722 -0.25563523
  0.19458225 -0.06660637 -0.03619449 -0.18933715]","[-0.00556947 -0.01956916  0.01105592 -0.00127542  0.0046173  -0.01097673
 -0.0152573  -0.00380334  0.0022403   0.03819695]"
1,0,"[-0.2295949  -0.37964526  0.2514468   0.7243067   0.2572602  -0.258868
  0.19523641 -0.07160146 -0.04584315 -0.24460514]","[-0.00607729  0.03023359 -0.00278398  0.01193511  0.02860029 -0.01420951
 -0.01460314 -0.00879842 -0.00740836 -0.01707104]"
1,0,"[-0.23001511 -0.41585597  0.26478866  0.7011312   0.23287596 -0.23438784
  0.21131998 -0.07433449 -0.03979428 -0.21755706]","[-0.0064975  -0.00597712  0.01055786 -0.01124036  0.00421605  0.01027066
  0.00148043 -0.01153145 -0.00135949  0.00997704]"
1,1,"[-0.22571841 -0.42566743  0.26383868  0.71091384  0.23171264 -0.2560068
  0.19719775 -0.0651648  -0.03955718 -0.19361418]","[-0.0022008  -0.01578858  0.00960788 -0.00145775  0.00305273 -0.01134831
 -0.0126418  -0.00236177 -0.00112239  0.03391992]"
1,0,"[-0.21064878 -0.39437094  0.24029303  0.7044806   0.23776025 -0.25641817
  0.21342698 -0.05370033 -0.03366764 -0.24904296]","[ 0.01286884  0.01550791 -0.01393777 -0.007891    0.00910033 -0.01175967
  0.00358742  0.00910271  0.00476716 -0.02150886]"
1,0,"[-0.21937767 -0.402673    0.24406788  0.75160396  0.2251053  -0.26446965
  0.21528006 -0.06830658 -0.04589333 -0.23720501]","[ 0.00413994  0.00720584 -0.01016292  0.03923237 -0.00355461 -0.01981115
  0.0054405  -0.00550354 -0.00745854 -0.00967091]"
2,0,"[-0.21510373 -0.40752444  0.26371834  0.71076065  0.21946676 -0.24480708
  0.2052624  -0.0654569  -0.03824487 -0.23003407]","[ 0.00782762 -0.00123176  0.01210871 -0.00180775 -0.00917754  0.00057612
 -0.00624073 -0.00344279 -0.00442126  0.00570537]"
2,1,"[-0.22388634 -0.41974783  0.2545228   0.71672153  0.22360463 -0.2552267
  0.20715897 -0.05971843 -0.03821445 -0.2074129 ]","[-0.00095499 -0.01345515  0.00291318  0.00415313 -0.00503966 -0.0098435
 -0.00434415  0.00229568 -0.00439084  0.02832654]"
2,0,"[-0.22732668 -0.40608227  0.24973235  0.6987373   0.23544683 -0.23766401
  0.21015242 -0.05836841 -0.02744324 -0.23916636]","[-0.00439532  0.0002104  -0.00187728 -0.01383108  0.00680253  0.00771919
 -0.0013507   0.0036457   0.00638037 -0.00342692]"
2,0,"[-0.22692396 -0.40056467  0.25362846  0.70378625  0.2331022  -0.24489523
  0.21406141 -0.06196024 -0.03584229 -0.23637395]","[-3.9926022e-03  5.7280064e-03  2.0188391e-03 -8.7821484e-03
  4.4579059e-03  4.8796833e-04  2.5582910e-03  5.3871423e-05
 -2.0186789e-03 -6.3450634e-04]"
2,0,"[-0.21234223 -0.41280556  0.24431607  0.70525825  0.2245493  -0.2372539
  0.21428254 -0.06649778 -0.04787386 -0.21371363]","[ 0.01058912 -0.00651288 -0.00729355 -0.00731015 -0.004095    0.0081293
  0.00277942 -0.00448367 -0.01405025  0.02202581]"
2,1,"[-0.22705449 -0.4181834   0.25799027  0.7203924   0.22935219 -0.25818276
  0.20047659 -0.06576387 -0.04009777 -0.2011283 ]","[-0.00412314 -0.01189071  0.00638065  0.007824    0.00070789 -0.01279956
 -0.01102653 -0.00374976 -0.00627416  0.03461114]"
2,1,"[-0.22548807 -0.41352898  0.25618133  0.7169986   0.23041655 -0.2555856
  0.20492497 -0.06262686 -0.04069858 -0.21279202]","[-0.00255671 -0.0072363   0.00457171  0.00443017  0.00177225 -0.01020241
 -0.00657815 -0.00061275 -0.00687497  0.02294742]"
2,1,"[-0.22917843 -0.41554773  0.25932068  0.7215446   0.23197873 -0.255982
  0.19990012 -0.06803274 -0.03776668 -0.20843562]","[-0.00624707 -0.00925505  0.00771105  0.00897622  0.00333443 -0.01059881
 -0.011603   -0.00601863 -0.00394307  0.02730381]"
2,0,"[-0.2197689  -0.4077104   0.25442338  0.70001924  0.22521561 -0.23072235
  0.20652461 -0.0622328  -0.04111091 -0.22665878]","[ 0.00316246 -0.00141773  0.00281376 -0.01254916 -0.00342868  0.01466085
 -0.00497851 -0.00021869 -0.0072873   0.00908066]"
2,0,"[-0.21893129 -0.40853816  0.25820348  0.7217888   0.21798338 -0.2594791
  0.21027859 -0.05440681 -0.03496073 -0.23384479]","[ 0.00400007 -0.00224549  0.00659385  0.00922042 -0.01066092 -0.0140959
 -0.00122453  0.0076073  -0.00113712  0.00189465]"
